model,rep,alarmed,hit,alarm_time,attrib_time,attrib_feature
kalman,288,True,True,443.0,443,variance_pressure
arima,288,False,False,,460,variance_pressure
kalman,289,True,True,447.0,447,variance_pressure
arima,289,False,False,,456,variance_pressure
kalman,290,True,True,443.0,443,variance_pressure
arima,290,False,False,,460,variance_pressure
kalman,291,True,True,401.0,401,variance_pressure
arima,291,False,False,,456,variance_pressure
kalman,292,True,True,395.0,395,variance_pressure
arima,292,False,False,,460,variance_pressure
kalman,293,False,False,,451,variance_pressure
arima,293,False,False,,456,variance_pressure
kalman,294,True,True,400.0,400,variance_pressure
arima,294,False,False,,456,variance_pressure
kalman,295,True,True,441.0,441,variance_pressure
arima,295,False,False,,456,variance_pressure
kalman,296,True,True,391.0,391,variance_pressure
arima,296,False,False,,460,variance_pressure
kalman,297,True,True,326.0,326,variance_pressure
arima,297,True,True,455.0,455,variance_pressure
kalman,298,True,True,322.0,322,variance_pressure
arima,298,True,True,400.0,400,variance_pressure
kalman,299,True,True,448.0,448,variance_pressure
arima,299,False,False,,456,variance_pressure
kalman,300,False,False,,451,variance_pressure
arima,300,False,False,,460,variance_pressure
kalman,301,True,True,441.0,441,variance_pressure
arima,301,False,False,,460,variance_pressure
kalman,302,True,True,322.0,322,variance_pressure
arima,302,False,False,,460,variance_pressure
kalman,303,False,False,,490,variance_pressure
arima,303,False,False,,489,variance_pressure
kalman,304,True,True,387.0,387,variance_pressure
arima,304,False,False,,460,variance_pressure
kalman,305,True,True,443.0,443,variance_pressure
arima,305,False,False,,460,variance_pressure
kalman,306,True,True,395.0,395,variance_pressure
arima,306,False,False,,456,variance_pressure
kalman,307,True,True,401.0,401,variance_pressure
arima,307,False,False,,460,variance_pressure
kalman,308,True,True,386.0,386,variance_pressure
arima,308,False,False,,456,variance_pressure
kalman,309,False,False,,451,variance_pressure
arima,309,False,False,,460,variance_pressure
kalman,310,True,True,443.0,443,variance_pressure
arima,310,False,False,,460,variance_pressure
kalman,311,True,True,351.0,351,variance_pressure
arima,311,False,False,,400,variance_pressure
kalman,312,True,True,447.0,447,variance_pressure
arima,312,False,False,,456,variance_pressure
kalman,313,True,True,354.0,354,variance_pressure
arima,313,False,False,,400,variance_pressure
kalman,314,False,False,,494,variance_pressure
arima,314,False,False,,489,variance_pressure
kalman,315,True,True,320.0,320,variance_pressure
arima,315,True,True,349.0,349,variance_pressure
kalman,316,False,False,,451,variance_pressure
arima,316,False,False,,456,variance_pressure
kalman,317,True,True,395.0,395,variance_pressure
arima,317,False,False,,460,variance_pressure
kalman,318,True,True,400.0,400,variance_pressure
arima,318,False,False,,456,variance_pressure
kalman,319,True,True,349.0,349,variance_pressure
arima,319,True,True,456.0,456,variance_pressure
kalman,320,True,True,451.0,451,variance_pressure
arima,320,True,True,334.0,334,break_pressure
kalman,321,True,True,447.0,447,variance_pressure
arima,321,False,False,,489,variance_pressure
kalman,322,True,True,443.0,443,variance_pressure
arima,322,False,False,,456,variance_pressure
kalman,323,True,True,448.0,448,variance_pressure
arima,323,False,False,,456,variance_pressure
kalman,324,False,False,,460,variance_pressure
arima,324,False,False,,460,variance_pressure
kalman,325,True,True,348.0,348,variance_pressure
